Provinsi,Kab_Kota,Kecamatan,Kelurahan_Desa,Alamat,Nama_SPPG,Longitude,Latitude
JAWA TIMUR,MADIUN,GEGER,SUMBEREJO,"Jl. Sultan Agung, Karanganyar, Sumberejo, Kec. Geger, Kabupaten Madiun, Jawa Timur 63171",SPPG Madiun Geger Sumberejo,111.533,-7.72354
JAWA TIMUR,MALANG,SUMBERPUCUNG,KARANGKATES,"Jl. Jendral Basuki Ahmad, Desa Karangkates, Kabupaten Malang, Jawa Timur, Karangkates, Sumberpucung, Kab. Malang, Jawa Timur",SPPG Malang Sumberpucung Karangkates,112.4541483,-8.1548588
JAWA TIMUR,MALANG,NGANTANG,SUMBERAGUNG,"Jl. Raya Sumberagung Rt 008 Rw 002, Kebonsari, Sumberagung, Kecamatan Ngantang, Kabupaten Malang, Jawa Timur",SPPG Malang Ngantang Sumberagung 2,112.38359,-7.85334
JAWA TIMUR,SIDOARJO,WARU,PEPELEGI,"Jl. Joyoboyo No.66, Legi, Pepelegi, Waru, Kab. Sidoarjo, Jawa Timur",SPPG Sidoarjo Waru Pepelegi,112.717374490026,-7.360508894081
JAWA TIMUR,GRESIK,DRIYOREJO,DRIYOREJO,"Jl. Kh Abdurohim 01 Desa Driyorejo, Kec. Driyorejo, Kab. Gresik, Jawa Timur",SPPG Gresik Driyorejo Driyorejo 2,112.612252124115,-7.365626893149
JAWA TIMUR,KOTA PASURUAN,PANGGUNGREJO,PEKUNCEN,"Jl. Pahlawan No.29, Pekuncen, Kec. Panggungrejo, Kota Pasuruan, Jawa Timur",SPPG Kota Pasuruan Panggungrejo Pekuncen 3,112.909301059701,-7.646685954636
JAWA TIMUR,SAMPANG,KARANGPENANG,TLAMBAH,"Dsn Tlambah Tengah, Ds Tlambah kec. Karang Penang Kab.Samag Jawa timur",SPPG Sampang Karangpenang Tlambah 4,113.370211,-7.028012
JAWA TIMUR,SAMPANG,KETAPANG,KETAPANG TIMUR,"Jl. Raya Torowan, Ketapang Timur, Kec. Ketapang, Kab. Sampang, Jawa Timur",SPPG Sampang Ketapang Ketapang Timur 2,113.320938,-6.917074
JAWA TIMUR,LAMONGAN,LAMONGAN,SUKOMULYO,"JL. Mastrip 81, Sumbermulyo RT002 RW002 Sukomulyo, Lamongan, Jatim",SPPG Lamongan Lamongan Sukomulyo,112.398332634449,-7.120102473742
JAWA TIMUR,BLITAR,NGLEGOK,NGLEGOK,"Jl. Penataran Rt/Rw 01/05 Desa/Kelurahan Kedawung Kec. Nglegok Kab Blitar, Jawa Timur",SPPG Blitar Nglegok Kedawung,112.222071213887,-8.061629099864
JAWA TIMUR,PACITAN,PACITAN,SIRNOBOYO,RT 03 RW 01 Dusun Ngemplak Desa Sirnoboyo Kec Pacitan Kab Pacitan Jawa Timur Kode Pos 63518,SPPG Pacitan Pacitan Sirnoboyo,111.112353492163,-8.203356087771
JAWA TIMUR,JEMBER,SUMBERSARI,KRANJINGAN,"Jl. Yos Sudarso No.121, Langsepan, Kranjingan, Kec. Sumbersari, Kab. Jember, Jawa Timur",SPPG Jember Sumbersari Kranjingan 2,113.730731973152,-8.206466669366
JAWA TIMUR,LAMONGAN,PACIRAN,PACIRAN,"Jl. Sendang Desa Paciran Kecamatan Paciran Kabupaten Lamongan 62264 Jawa Timur, Paciran, Paciran, Kabupaten Lamongan, Jawa Timur",SPPG Lamongan Paciran Paciran,112.346874422338,-6.872320934399
JAWA TIMUR,SIDOARJO,KREMBUNG,MOJORUNTUT,"Jabon Mojoruntut Rt 18 Rw 09 Kec Krembung Kab Sidoarjo, Krembung, Kab. Sidoarjo, Jawa Timur",SPPG Sidoarjo Krembung Mojoruntut,112.630141,-7.519353
JAWA TIMUR,JOMBANG,JOMBANG,SAMBONGDUKUH,"Dusun Sambongsantren, Desa Sambongdukuh, Kec. Jombang, Kab. Jombang, Jawa Timur",SPPG Jombang Jombang Sambongdukuh 4,112.2324884,-7.5360723
JAWA TIMUR,MOJOKERTO,PUNGGING,TUNGGALPAGER,"Jl. Raya Brawijaya No. 229 Rt. 002 Rw. 001 Dusun Wongiri Desa Tunggalpager, Kecamatan Pungging, Kabupaten Mojokerto, Jawa Timur",SPPG Mojokerto Pungging Tunggalpager 2,112.5730385,-7.5280406
JAWA TIMUR,PAMEKASAN,WARU,SUMBER WARU,"Dusun Gulu`An, Sumber Waru, Kec. Waru, Kab. Pamekasan, Jawa Timur",SPPG Pamekasan Waru Sumber Waru,113.536884,-7.008925
JAWA TIMUR,BONDOWOSO,BONDOWOSO,KADEMANGAN,"Kelurahan Kademangan, Kecamatan Bondowoso, Kabupaten Bondowoso, Jawa Timur",SPPG Bondowoso Bondowoso Kademangan 2,113.8333686,-7.9191673
